archive,file_bytes,sha256,included_in_release,name,experiment_key,plate,instrument_well,biological_sample,well_position,assay,cas_variant,cas_promoter,guide_promoter,direct_repeat,donor_recruitment,guide_id,strain,replicate,timepoint,generations,control,figure,paper_panel,source_table
cas12a_precision_editing_figure1_fcs.zip,1008200,f6e291beecb052278d4e5ee73e27f0abeda1e17cb876c1066b6724ef1e324e61,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day3_H08.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),H08,A8,,GFP_OFF,MbCas12a,TEF,SNR52,As_DR,,,,2,20_gen,9.9,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,2d14cbdc23336f0928269ea157871a969fe3e44b609e9b027b348b7ce2ede2b6,True,AD_20240709_cas12a_all_PGK1plateC_Experiment_24gen_A08.fcs,cas_variant_gfp_off,AD_20240709_cas12a_all_PGK1plateC,A08,C5,,GFP_OFF,FnCas12a,PGK1,SNR52,As_DR,,,,1,20_gen,9.1,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,49e7d2b2502cb60769a967ac1b1469189fcd7fe7818c48228ca83f9b06f461ba,True,AD_20240709_cas12a_all_PGK1plateC_Experiment_24gen_B08.fcs,cas_variant_gfp_off,AD_20240709_cas12a_all_PGK1plateC,B08,C5,,GFP_OFF,FnCas12a,PGK1,SNR52,As_DR,,,,2,20_gen,9.2,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,7dca76b8482d283bb1de187fc74a36398ccc5c78ab4f8ca05f277948aaf7c492,True,AD_20240709_cas12a_all_PGK1plateC_Experiment_24gen_C07.fcs,cas_variant_gfp_off,AD_20240709_cas12a_all_PGK1plateC,C07,C2,,GFP_OFF,enAsCas12a,PGK1,SNR52,As_DR,,,,1,20_gen,9.6,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,d16dc182b346714c5c850884945b868b2b0cb0873ac662e41015b9dd089be45b,True,AD_20240709_cas12a_all_PGK1plateC_Experiment_24gen_C08.fcs,cas_variant_gfp_off,AD_20240709_cas12a_all_PGK1plateC,C08,C6,,GFP_OFF,LbCas12a,PGK1,SNR52,As_DR,,,,1,20_gen,9.3,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,9838aaae42b201998d983b7be75042402cc1c936ce83e99ac3d6beabddf36a5e,True,AD_20240709_cas12a_all_PGK1plateC_Experiment_24gen_D07.fcs,cas_variant_gfp_off,AD_20240709_cas12a_all_PGK1plateC,D07,C2,,GFP_OFF,enAsCas12a,PGK1,SNR52,As_DR,,,,2,20_gen,9.6,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,b62c446aa555722d41bba416f7db1cbd7a1b3676063bab7073a84dd1e926203d,True,AD_20240709_cas12a_all_PGK1plateC_Experiment_24gen_D08.fcs,cas_variant_gfp_off,AD_20240709_cas12a_all_PGK1plateC,D08,C6,,GFP_OFF,LbCas12a,PGK1,SNR52,As_DR,,,,2,20_gen,9.3,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,97973541592b965946e6a770705e293edfe7911b581c94e0c5a46024db38ea40,True,AD_20240709_cas12a_all_PGK1plateC_Experiment_24gen_E08.fcs,cas_variant_gfp_off,AD_20240709_cas12a_all_PGK1plateC,E08,C7,,GFP_OFF,AsCas12a,PGK1,SNR52,As_DR,,,,1,20_gen,9.3,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,671aacf7f4d4c4f9daff8187b604f247a9cd314b12f8fd7a780488cc1337e241,True,AD_20240709_cas12a_all_PGK1plateC_Experiment_24gen_F08.fcs,cas_variant_gfp_off,AD_20240709_cas12a_all_PGK1plateC,F08,C7,,GFP_OFF,AsCas12a,PGK1,SNR52,As_DR,,,,2,20_gen,9.4,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,4bfac89ef57b5007537c0ec2b2b2846a5ecafb9a1230a188dd632fb470fcb294,True,VB_20241007_MbCas12a_PGK1_Experiment_T04_C4.fcs,cas_variant_gfp_off,VB_20241007_MbCas12a_PGK1,,C4,,GFP_OFF,MbCas12a,PGK1,SNR52,As_DR,,,,1,20_gen,18.18349764,No,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,cef76e6bcf300a7fd8fad631baf4bae761d2e6628627063860b55cf6ae6e4288,True,VB_20241007_MbCas12a_PGK1_Experiment_T04_D4.fcs,cas_variant_gfp_off,VB_20241007_MbCas12a_PGK1,,D4,,GFP_OFF,MbCas12a,PGK1,SNR52,As_DR,,,,2,20_gen,18.04737405,No,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,72cc7afd59a5a39b782385572edb4bafad387e51f61153807b1e063ffa995a36,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_scrapedcells_and_day_1_A04.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),A04,A5,,GFP_OFF,FnCas12a,TEF,SNR52,As_DR,,,,1,6_gen,7.5,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,94858f4c06a7f2c9c3115c91d066d9817d53b58bde0eff5368d3e5436124261e,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_scrapedcells_and_day_1_B04.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),B04,A5,,GFP_OFF,FnCas12a,TEF,SNR52,As_DR,,,,2,6_gen,7.4,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
