name,parent,parent_frequency,plate,sample,group,var,rep,control,prom_cas,timepoint,generations,efficiency,true_colony_count,control_count,viability
NA,NA,NA,NA,NA,NA,LbCas12a,1,no,TEF,6_gen,6.4,44.308,2069,NA,NA
NA,NA,NA,NA,NA,NA,MbCas12a,1,no,TEF,6_gen,6.5,26.072,4154,NA,NA
NA,NA,NA,NA,NA,NA,LbCas12a(CO),1,no,TEF,scraped,0,5.392,2306,NA,NA
NA,NA,NA,NA,NA,NA,LbCas12a,1,no,TEF,scraped,0,7.22,2069,NA,NA
NA,NA,NA,NA,NA,NA,MbCas12a,1,no,TEF,scraped,0,2.52,4154,NA,NA
NA,NA,NA,NA,NA,NA,LbCas12a(CO),2,no,TEF,6_gen,6.3,27.968,2255,NA,NA
NA,NA,NA,NA,NA,NA,LbCas12a,2,no,TEF,6_gen,6.2,39.367999999999995,2120,NA,NA
NA,NA,NA,NA,NA,NA,MbCas12a,2,no,TEF,6_gen,5.9,22.408,3902,NA,NA
NA,NA,NA,NA,NA,NA,LbCas12a(CO),2,no,TEF,scraped,0,6.184,2255,NA,NA
NA,NA,NA,NA,NA,NA,LbCas12a,2,no,TEF,scraped,0,7.828,2120,NA,NA
NA,NA,NA,NA,NA,NA,MbCas12a,2,no,TEF,scraped,0,3.444,3902,NA,NA
NA,NA,NA,NA,NA,NA,enAsCas12a,1,no,TEF,6_gen,8.9,99.088,66,3148.5,0.02096236303001429
NA,NA,NA,NA,NA,NA,FnCas12a,1,no,TEF,6_gen,8.7,99.968,478,NA,NA
NA,NA,NA,NA,NA,NA,AsCas12a,1,no,TEF,6_gen,6.1,29.787999999999997,2813,NA,NA
NA,NA,NA,NA,NA,NA,enAsCas12a,1,no,TEF,scraped,0,99.04,66,3148.5,0.02096236303001429
NA,NA,NA,NA,NA,NA,FnCas12a,1,no,TEF,scraped,0,95.512,478,NA,NA
NA,NA,NA,NA,NA,NA,AsCas12a,1,no,TEF,scraped,0,4.0840000000000005,2813,NA,NA
NA,NA,NA,NA,NA,NA,enAsCas12a,2,no,TEF,6_gen,8.8,98.66,54,3148.5,0.01715102429728442
NA,NA,NA,NA,NA,NA,FnCas12a,2,no,TEF,6_gen,8.6,99.944,577,NA,NA
NA,NA,NA,NA,NA,NA,AsCas12a,2,no,TEF,6_gen,6.2,27.988000000000003,2667,NA,NA
NA,NA,NA,NA,NA,NA,enAsCas12a,2,no,TEF,scraped,0,98.172,54,3148.5,0.01715102429728442
NA,NA,NA,NA,NA,NA,FnCas12a,2,no,TEF,scraped,0,95.232,577,NA,NA
NA,NA,NA,NA,NA,NA,AsCas12a,2,no,TEF,scraped,0,3.1919999999999997,2667,NA,NA
NA,NA,NA,NA,NA,NA,FnCas12a(CO),1,no,TEF,6_gen,8.2,98.892,295,NA,NA
NA,NA,NA,NA,NA,NA,FnCas12a(CO),1,no,TEF,scraped,0,71.98400000000001,295,NA,NA
NA,NA,NA,NA,NA,NA,FnCas12a(CO),2,no,TEF,6_gen,8.5,98.996,254,NA,NA
NA,NA,NA,NA,NA,NA,FnCas12a(CO),2,no,TEF,scraped,0,72.78,254,NA,NA
NA,NA,NA,NA,NA,NA,LbCas12a(CO),1,no,TEF,11_gen,11,49.148,2306,NA,NA
NA,NA,NA,NA,NA,NA,LbCas12a,1,no,TEF,11_gen,11.6,67.656,2069,NA,NA
NA,NA,NA,NA,NA,NA,MbCas12a,1,no,TEF,11_gen,12,37.864,4154,NA,NA
NA,NA,NA,NA,NA,NA,LbCas12a(CO),2,no,TEF,11_gen,10.8,45.328,2255,NA,NA
NA,NA,NA,NA,NA,NA,LbCas12a,2,no,TEF,11_gen,11.4,62.184,2120,NA,NA
NA,NA,NA,NA,NA,NA,MbCas12a,2,no,TEF,11_gen,11.4,32.903999999999996,3902,NA,NA
NA,NA,NA,NA,NA,NA,enAsCas12a,1,no,TEF,11_gen,13,99.06,66,3148.5,0.02096236303001429
NA,NA,NA,NA,NA,NA,FnCas12a,1,no,TEF,11_gen,13.7,99.94,478,NA,NA
NA,NA,NA,NA,NA,NA,AsCas12a,1,no,TEF,11_gen,11.6,43.604,2813,NA,NA
NA,NA,NA,NA,NA,NA,enAsCas12a,2,no,TEF,11_gen,13.7,98.964,54,3148.5,0.01715102429728442
NA,NA,NA,NA,NA,NA,FnCas12a,2,no,TEF,11_gen,13.8,99.988,577,NA,NA
NA,NA,NA,NA,NA,NA,AsCas12a,2,no,TEF,11_gen,11.9,41.324,2667,NA,NA
NA,NA,NA,NA,NA,NA,FnCas12a(CO),1,no,TEF,11_gen,13,99.876,295,NA,NA
NA,NA,NA,NA,NA,NA,FnCas12a(CO),2,no,TEF,11_gen,13.2,99.864,254,NA,NA
NA,NA,NA,NA,NA,NA,LbCas12a(CO),1,no,TEF,20_gen,17.2,69.324,2306,NA,NA
NA,NA,NA,NA,NA,NA,LbCas12a,1,no,TEF,20_gen,17.7,83.784,2069,NA,NA
NA,NA,NA,NA,NA,NA,MbCas12a,1,no,TEF,20_gen,18,51.712,4154,NA,NA
