name,parent,parent_frequency,plate,sample,group,var,rep,control,prom_cas,timepoint,generations,efficiency,colonies_cutoff
VB_20240909_Cas_vars_Experiment_T02_TEF_D1_E5.fcs,root,1,VB_20240909_Cas_vars,E5,T02_TEF_D1,FnCas12a,1,No,TEF,T02,7.754887502,80.704,2424
VB_20240909_Cas_vars_Experiment_T02_TEF_D1_F5.fcs,root,1,VB_20240909_Cas_vars,F5,T02_TEF_D1,LbCas12a,1,No,TEF,T02,6.459431619,43.616,3329
VB_20240909_Cas_vars_Experiment_T02_TEF_D1_G5.fcs,root,1,VB_20240909_Cas_vars,G5,T02_TEF_D1,AsCas12a,1,No,TEF,T02,6.776103988,25.684,8092
VB_20240909_Cas_vars_Experiment_T02_TEF_D1_H5.fcs,root,1,VB_20240909_Cas_vars,H5,T02_TEF_D1,MbCas12a,1,No,TEF,T02,6.944858446,18.54,7656
VB_20240909_Cas_vars_Experiment_T02_TEF_D2_C6.fcs,root,1,VB_20240909_Cas_vars,C6,T02_TEF_D2,LbCas12a(CO),2,No,TEF,T02,5.459431619,32.572,2444
VB_20240909_Cas_vars_Experiment_T02_TEF_D2_D6.fcs,root,1,VB_20240909_Cas_vars,D6,T02_TEF_D2,FnCas12a(CO),2,No,TEF,T02,6.459431619,79.512,1494
VB_20240909_Cas_vars_Experiment_T02_TEF_D2_E6.fcs,root,1,VB_20240909_Cas_vars,E6,T02_TEF_D2,FnCas12a,2,No,TEF,T02,7.596935142,85.32,1419
VB_20240909_Cas_vars_Experiment_T02_TEF_D2_F6.fcs,root,1,VB_20240909_Cas_vars,F6,T02_TEF_D2,LbCas12a,2,No,TEF,T02,5.40599236,38.54,3104
VB_20240909_Cas_vars_Experiment_T02_TEF_D2_G6.fcs,root,1,VB_20240909_Cas_vars,G6,T02_TEF_D2,AsCas12a,2,No,TEF,T02,5.608809243,23.408,6922
VB_20240909_Cas_vars_Experiment_T02_TEF_D2_H6.fcs,root,1,VB_20240909_Cas_vars,H6,T02_TEF_D2,MbCas12a,2,No,TEF,T02,5.906890596,17.644000000000002,7223
VB_20240909_Cas_vars_Experiment_T03_TEF_D1_C9.fcs,root,1,VB_20240909_Cas_vars,C9,T03_TEF_D1,LbCas12a(CO),1,No,TEF,T03,15.90674031,62.048,3705
VB_20240909_Cas_vars_Experiment_T03_TEF_D1_D9.fcs,root,1,VB_20240909_Cas_vars,D9,T03_TEF_D1,FnCas12a(CO),1,No,TEF,T03,17.22495431,64.116,2116
VB_20240909_Cas_vars_Experiment_T03_TEF_D1_E9.fcs,root,1,VB_20240909_Cas_vars,E9,T03_TEF_D1,FnCas12a,1,No,TEF,T03,17.33080486,68.66,2424
VB_20240909_Cas_vars_Experiment_T03_TEF_D1_F9.fcs,root,1,VB_20240909_Cas_vars,F9,T03_TEF_D1,LbCas12a,1,No,TEF,T03,15.71304277,69.74000000000001,3329
VB_20240909_Cas_vars_Experiment_T03_TEF_D1_G9.fcs,root,1,VB_20240909_Cas_vars,G9,T03_TEF_D1,AsCas12a,1,No,TEF,T03,15.93799167,42.184,8092
VB_20240909_Cas_vars_Experiment_T03_TEF_D1_H9.fcs,root,1,VB_20240909_Cas_vars,H9,T03_TEF_D1,MbCas12a,1,No,TEF,T03,16.20413093,34.964,7656
VB_20240909_Cas_vars_Experiment_T03_TEF_D2_C10.fcs,root,1,VB_20240909_Cas_vars,C10,T03_TEF_D2,LbCas12a(CO),2,No,TEF,T03,14.79749942,55.324,2444
VB_20240909_Cas_vars_Experiment_T03_TEF_D2_D10.fcs,root,1,VB_20240909_Cas_vars,D10,T03_TEF_D2,FnCas12a(CO),2,No,TEF,T03,15.95288682,68.604,1494
VB_20240909_Cas_vars_Experiment_T03_TEF_D2_E10.fcs,root,1,VB_20240909_Cas_vars,E10,T03_TEF_D2,FnCas12a,2,No,TEF,T03,17.13764441,74.768,1419
VB_20240909_Cas_vars_Experiment_T03_TEF_D2_F10.fcs,root,1,VB_20240909_Cas_vars,F10,T03_TEF_D2,LbCas12a,2,No,TEF,T03,14.78796784,66.684,3104
VB_20240909_Cas_vars_Experiment_T03_TEF_D2_G10.fcs,root,1,VB_20240909_Cas_vars,G10,T03_TEF_D2,AsCas12a,2,No,TEF,T03,15.03171499,37.632,6922
VB_20240909_Cas_vars_Experiment_T03_TEF_D2_H10.fcs,root,1,VB_20240909_Cas_vars,H10,T03_TEF_D2,MbCas12a,2,No,TEF,T03,15.12605912,30.888,7223
VB_20240911_Cas_vars_P2_Experiment_T04_TEF_D1_C1.fcs,root,1,VB_20240911_Cas_vars_P2,C1,T04_TEF_D1,LbCas12a(CO),1,No,TEF,T04,22.5505965,68.192,3705
