name,parent,parent_frequency,plate,sample,group,var,rep,control,prom_cas,timepoint,generations,efficiency
VB_20240909_Cas_vars_Experiment_T03_TEF_D2_H10.fcs,root,1,VB_20240909_Cas_vars,H10,T03_TEF_D2,MbCas12a,2,No,TEF,T03,15.12605912,30.887999999999998
VB_20240911_Cas_vars_P2_Experiment_T04_PGK1_D1_C3.fcs,root,1,VB_20240911_Cas_vars_P2,C3,T04_PGK1_D1,LbCas12a(CO),1,No,PGK1,T04,21.6623791,72.28
VB_20240911_Cas_vars_P2_Experiment_T04_PGK1_D1_D3.fcs,root,1,VB_20240911_Cas_vars_P2,D3,T04_PGK1_D1,FnCas12a(CO),1,No,PGK1,T04,22.95291011,39.176
VB_20240911_Cas_vars_P2_Experiment_T04_PGK1_D1_E3.fcs,root,1,VB_20240911_Cas_vars_P2,E3,T04_PGK1_D1,FnCas12a,1,No,PGK1,T04,23.80826362,60.28
VB_20240911_Cas_vars_P2_Experiment_T04_PGK1_D1_F3.fcs,root,1,VB_20240911_Cas_vars_P2,F3,T04_PGK1_D1,LbCas12a,1,No,PGK1,T04,18.38694391,60.07599999999999
VB_20240911_Cas_vars_P2_Experiment_T04_PGK1_D1_G3.fcs,root,1,VB_20240911_Cas_vars_P2,G3,T04_PGK1_D1,AsCas12a,1,No,PGK1,T04,21.30275029,73.464
VB_20240911_Cas_vars_P2_Experiment_T04_PGK1_D2_C4.fcs,root,1,VB_20240911_Cas_vars_P2,C4,T04_PGK1_D2,LbCas12a(CO),2,No,PGK1,T04,20.46362246,66.192
VB_20240911_Cas_vars_P2_Experiment_T04_PGK1_D2_D4.fcs,root,1,VB_20240911_Cas_vars_P2,D4,T04_PGK1_D2,FnCas12a(CO),2,No,PGK1,T04,20.83685908,42.196
VB_20240911_Cas_vars_P2_Experiment_T04_PGK1_D2_E4.fcs,root,1,VB_20240911_Cas_vars_P2,E4,T04_PGK1_D2,FnCas12a,2,No,PGK1,T04,22.75964979,59.396
VB_20240911_Cas_vars_P2_Experiment_T04_PGK1_D2_F4.fcs,root,1,VB_20240911_Cas_vars_P2,F4,T04_PGK1_D2,LbCas12a,2,No,PGK1,T04,21.51806298,72.556
