name,sample,strain,rep,guide_promoter,control,timepoint,generations,efficiency,var,assay,prom_cas
VB_20240916_PGK1_proms_P2_Experiment_ys289_T04_F8.fcs,F8,ys289,2,SCR1,No,T04,22.57056314,99.156,FnCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys289_T04_F9.fcs,F9,ys289,1,SYN1,No,T04,19.47324913,31.755999999999997,FnCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys318_T03_C1.fcs,C1,ys318,1,SNR52,Yes,T03,11.14974712,0.016,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys318_T03_C10.fcs,C10,ys318,2,SYN1,No,T03,12.55458885,69.188,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys318_T03_C2.fcs,C2,ys318,2,SNR52,Yes,T03,10.02856915,0.008,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys318_T03_C3.fcs,C3,ys318,1,SNR52,No,T03,13.87897051,32.932,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys318_T03_C4.fcs,C4,ys318,2,SNR52,No,T03,12.60214209,32.736,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys318_T03_C5.fcs,C5,ys318,1,RPR1,No,T03,11.62410089,54.844,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys318_T03_C6.fcs,C6,ys318,2,RPR1,No,T03,12.48607074,45.403999999999996,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys318_T03_C7.fcs,C7,ys318,1,SCR1,No,T03,12.55642942,29.98,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys318_T03_C8.fcs,C8,ys318,2,SCR1,No,T03,12.89578732,38.232,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys318_T03_C9.fcs,C9,ys318,1,SYN1,No,T03,13.13093087,66.97999999999999,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys318_T04_G1.fcs,G1,ys318,1,SNR52,Yes,T04,20.19959567,0.016,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys318_T04_G10.fcs,G10,ys318,2,SYN1,No,T04,21.83999107,47.980000000000004,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys318_T04_G2.fcs,G2,ys318,2,SNR52,Yes,T04,19.20847824,0.004,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys318_T04_G3.fcs,G3,ys318,1,SNR52,No,T04,23.27557529,19.68,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys318_T04_G4.fcs,G4,ys318,2,SNR52,No,T04,21.62728165,12.920000000000002,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys318_T04_G5.fcs,G5,ys318,1,RPR1,No,T04,21.02070568,23.976,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys318_T04_G6.fcs,G6,ys318,2,RPR1,No,T04,21.90603092,16.619999999999997,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys318_T04_G7.fcs,G7,ys318,1,SCR1,No,T04,21.62789178,13.703999999999999,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys318_T04_G8.fcs,G8,ys318,2,SCR1,No,T04,22.08808013,28.552,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys318_T04_G9.fcs,G9,ys318,1,SYN1,No,T04,22.70268351,48.636,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys321_T03_D1.fcs,D1,ys321,1,SNR52,Yes,T03,11.35226417,0.04,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys321_T03_D10.fcs,D10,ys321,2,SYN1,No,T03,7.815575429,17.826935588809402,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys321_T03_D2.fcs,D2,ys321,2,SNR52,Yes,T03,11.31070366,0.02,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys321_T03_D3.fcs,D3,ys321,1,SNR52,No,T03,11.43696134,56.064,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys321_T03_D4.fcs,D4,ys321,2,SNR52,No,T03,12.66902677,55.267999999999994,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys321_T03_D5.fcs,D5,ys321,1,RPR1,No,T03,11.86021792,71.64399999999999,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys321_T03_D6.fcs,D6,ys321,2,RPR1,No,T03,13.85984534,64.44800000000001,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys321_T03_D7.fcs,D7,ys321,1,SCR1,No,T03,12.57137344,57.32000000000001,FnCas12a,ON,PGK1
