"parameter","parameter_pretty","parameter_group","parameter_value","outcome_state","design_count","total_designs","fraction","value_order"
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","<30%","Unedited",20,39,0.512820512820513,1
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","30-39%","Intended edit only",177,334,0.529940119760479,2
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","30-39%","Other variants observed",11,334,0.032934131736527,2
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","30-39%","Unedited",146,334,0.437125748502994,2
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","40-49%","Intended edit only",83,145,0.572413793103448,3
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","40-49%","Other variants observed",7,145,0.0482758620689655,3
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","40-49%","Unedited",55,145,0.379310344827586,3
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","50-59%","Intended edit only",8,12,0.666666666666667,4
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","50-59%","Other variants observed",0,12,0,4
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","50-59%","Unedited",4,12,0.333333333333333,4
"dr_perturbed_flag","DR perturbation","GC and DR parameters","Not perturbed","Intended edit only",200,372,0.53763440860215,1
"dr_perturbed_flag","DR perturbation","GC and DR parameters","Not perturbed","Other variants observed",15,372,0.0403225806451613,1
"dr_perturbed_flag","DR perturbation","GC and DR parameters","Not perturbed","Unedited",157,372,0.422043010752688,1
"dr_perturbed_flag","DR perturbation","GC and DR parameters","Perturbed","Intended edit only",86,158,0.544303797468354,2
"dr_perturbed_flag","DR perturbation","GC and DR parameters","Perturbed","Other variants observed",4,158,0.0253164556962025,2
"dr_perturbed_flag","DR perturbation","GC and DR parameters","Perturbed","Unedited",68,158,0.430379746835443,2
"dr_canonical_flag","DR structure class","GC and DR parameters","Canonical","Intended edit only",78,146,0.534246575342466,1
"dr_canonical_flag","DR structure class","GC and DR parameters","Canonical","Other variants observed",6,146,0.0410958904109589,1
"dr_canonical_flag","DR structure class","GC and DR parameters","Canonical","Unedited",62,146,0.424657534246575,1
"dr_canonical_flag","DR structure class","GC and DR parameters","Non-canonical","Intended edit only",208,384,0.541666666666667,2
"dr_canonical_flag","DR structure class","GC and DR parameters","Non-canonical","Other variants observed",13,384,0.0338541666666667,2
"dr_canonical_flag","DR structure class","GC and DR parameters","Non-canonical","Unedited",163,384,0.424479166666667,2
"dr_spacer_pair_flag","DR-spacer pairing","GC and DR parameters","Any DR-spacer pairing","Intended edit only",86,158,0.544303797468354,2
"dr_spacer_pair_flag","DR-spacer pairing","GC and DR parameters","Any DR-spacer pairing","Other variants observed",4,158,0.0253164556962025,2
"dr_spacer_pair_flag","DR-spacer pairing","GC and DR parameters","Any DR-spacer pairing","Unedited",68,158,0.430379746835443,2
"dr_spacer_pair_flag","DR-spacer pairing","GC and DR parameters","No DR-spacer pairing","Intended edit only",200,372,0.53763440860215,1
"dr_spacer_pair_flag","DR-spacer pairing","GC and DR parameters","No DR-spacer pairing","Other variants observed",15,372,0.0403225806451613,1
"dr_spacer_pair_flag","DR-spacer pairing","GC and DR parameters","No DR-spacer pairing","Unedited",157,372,0.422043010752688,1
