"parameter","parameter_pretty","parameter_group","parameter_value","outcome_state","design_count","total_designs","fraction","value_order"
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","50-59%","Other variants observed",2,88,0.0227272727272727,4
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","50-59%","Unedited",30,88,0.340909090909091,4
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","<30%","Intended edit only",71,116,0.612068965517241,1
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","<30%","Other variants observed",6,116,0.0517241379310345,1
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","<30%","Unedited",39,116,0.336206896551724,1
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters",">=60%","Intended edit only",34,44,0.772727272727273,5
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters",">=60%","Other variants observed",2,44,0.0454545454545455,5
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters",">=60%","Unedited",8,44,0.181818181818182,5
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","30-39%","Intended edit only",130,186,0.698924731182796,2
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","30-39%","Other variants observed",5,186,0.0268817204301075,2
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","30-39%","Unedited",51,186,0.274193548387097,2
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","40-49%","Intended edit only",64,91,0.703296703296703,3
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","40-49%","Other variants observed",4,91,0.043956043956044,3
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","40-49%","Unedited",23,91,0.252747252747253,3
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","50-59%","Intended edit only",60,93,0.645161290322581,4
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","50-59%","Other variants observed",2,93,0.021505376344086,4
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","50-59%","Unedited",31,93,0.333333333333333,4
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","<30%","Intended edit only",28,39,0.717948717948718,1
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","<30%","Other variants observed",1,39,0.0256410256410256,1
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","<30%","Unedited",10,39,0.256410256410256,1
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","30-39%","Intended edit only",225,334,0.673652694610778,2
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","30-39%","Other variants observed",11,334,0.032934131736527,2
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","30-39%","Unedited",98,334,0.293413173652695,2
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","40-49%","Intended edit only",96,145,0.662068965517241,3
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","40-49%","Other variants observed",7,145,0.0482758620689655,3
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","40-49%","Unedited",42,145,0.289655172413793,3
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","50-59%","Intended edit only",10,12,0.833333333333333,4
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","50-59%","Other variants observed",0,12,0,4
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","50-59%","Unedited",2,12,0.166666666666667,4
"dr_perturbed_flag","DR perturbation","GC and DR parameters","Not perturbed","Intended edit only",255,372,0.685483870967742,1
"dr_perturbed_flag","DR perturbation","GC and DR parameters","Not perturbed","Other variants observed",15,372,0.0403225806451613,1
"dr_perturbed_flag","DR perturbation","GC and DR parameters","Not perturbed","Unedited",102,372,0.274193548387097,1
"dr_perturbed_flag","DR perturbation","GC and DR parameters","Perturbed","Intended edit only",104,158,0.658227848101266,2
"dr_perturbed_flag","DR perturbation","GC and DR parameters","Perturbed","Other variants observed",4,158,0.0253164556962025,2
"dr_perturbed_flag","DR perturbation","GC and DR parameters","Perturbed","Unedited",50,158,0.316455696202532,2
"dr_canonical_flag","DR structure class","GC and DR parameters","Canonical","Intended edit only",100,146,0.684931506849315,1
"dr_canonical_flag","DR structure class","GC and DR parameters","Canonical","Other variants observed",6,146,0.0410958904109589,1
"dr_canonical_flag","DR structure class","GC and DR parameters","Canonical","Unedited",40,146,0.273972602739726,1
"dr_canonical_flag","DR structure class","GC and DR parameters","Non-canonical","Intended edit only",259,384,0.674479166666667,2
"dr_canonical_flag","DR structure class","GC and DR parameters","Non-canonical","Other variants observed",13,384,0.0338541666666667,2
"dr_canonical_flag","DR structure class","GC and DR parameters","Non-canonical","Unedited",112,384,0.291666666666667,2
"dr_spacer_pair_flag","DR-spacer pairing","GC and DR parameters","Any DR-spacer pairing","Intended edit only",104,158,0.658227848101266,2
"dr_spacer_pair_flag","DR-spacer pairing","GC and DR parameters","Any DR-spacer pairing","Other variants observed",4,158,0.0253164556962025,2
"dr_spacer_pair_flag","DR-spacer pairing","GC and DR parameters","Any DR-spacer pairing","Unedited",50,158,0.316455696202532,2
"dr_spacer_pair_flag","DR-spacer pairing","GC and DR parameters","No DR-spacer pairing","Intended edit only",255,372,0.685483870967742,1
"dr_spacer_pair_flag","DR-spacer pairing","GC and DR parameters","No DR-spacer pairing","Other variants observed",15,372,0.0403225806451613,1
"dr_spacer_pair_flag","DR-spacer pairing","GC and DR parameters","No DR-spacer pairing","Unedited",102,372,0.274193548387097,1
