promoter,donor_recruitment,cas_variant,well_position,timepoint,avg_value
RPR1,Yes,FnCas12a,H11,scraped,41.122
RPR1,Yes,enAsCas12a,A01,11_gen,94.48599999999999
RPR1,Yes,enAsCas12a,A01,20_gen,97.802
RPR1,Yes,enAsCas12a,A01,6_gen,90.024
RPR1,Yes,enAsCas12a,A01,scraped,22.604
RPR1,Yes,enAsCas12a,A04,11_gen,99.852
RPR1,Yes,enAsCas12a,A04,20_gen,99.87799999999999
RPR1,Yes,enAsCas12a,A04,6_gen,99.87
RPR1,Yes,enAsCas12a,A04,scraped,99.84799999999998
RPR1,Yes,enAsCas12a,A09,11_gen,81
RPR1,Yes,enAsCas12a,A09,20_gen,38.51200000000025
RPR1,Yes,enAsCas12a,A09,6_gen,2.2039999999999997
RPR1,Yes,enAsCas12a,A09,scraped,11.428
RPR1,Yes,enAsCas12a,A12,11_gen,99.32
RPR1,Yes,enAsCas12a,A12,20_gen,99.394
RPR1,Yes,enAsCas12a,A12,6_gen,98.874
RPR1,Yes,enAsCas12a,A12,scraped,87.80199999999999
RPR1,Yes,enAsCas12a,B05,11_gen,87.018
RPR1,Yes,enAsCas12a,B05,20_gen,80.792
RPR1,Yes,enAsCas12a,B05,6_gen,90.14668631021354
RPR1,Yes,enAsCas12a,B05,scraped,66.612
RPR1,Yes,enAsCas12a,C03,11_gen,99.79400000000001
RPR1,Yes,enAsCas12a,C03,20_gen,99.902
RPR1,Yes,enAsCas12a,C03,6_gen,99.892
RPR1,Yes,enAsCas12a,C03,scraped,99.79599999999999
RPR1,Yes,enAsCas12a,C04,11_gen,99.78399999999999
RPR1,Yes,enAsCas12a,C04,20_gen,99.70599999999999
RPR1,Yes,enAsCas12a,C04,6_gen,98.00709285788676
RPR1,Yes,enAsCas12a,C04,scraped,63.876
RPR1,Yes,enAsCas12a,C05,11_gen,99.964
RPR1,Yes,enAsCas12a,C05,20_gen,99.984
RPR1,Yes,enAsCas12a,C05,6_gen,99.892
RPR1,Yes,enAsCas12a,C05,scraped,95.964
RPR1,Yes,enAsCas12a,E01,11_gen,99.97800000000001
RPR1,Yes,enAsCas12a,E01,20_gen,99.986
RPR1,Yes,enAsCas12a,E01,6_gen,99.97
RPR1,Yes,enAsCas12a,E01,scraped,99.868
RPR1,Yes,enAsCas12a,E02,11_gen,52.914
RPR1,Yes,enAsCas12a,E02,20_gen,57.55799999999999
RPR1,Yes,enAsCas12a,E02,6_gen,53.3948608979367
RPR1,Yes,enAsCas12a,E02,scraped,39.927414246802996
RPR1,Yes,enAsCas12a,E05,11_gen,99.53999999999999
RPR1,Yes,enAsCas12a,E05,20_gen,99.50399999999999
RPR1,Yes,enAsCas12a,E05,6_gen,99.684
RPR1,Yes,enAsCas12a,E05,scraped,97.386
RPR1,Yes,enAsCas12a,G03,11_gen,99.994
RPR1,Yes,enAsCas12a,G03,20_gen,99.994
RPR1,Yes,enAsCas12a,G03,6_gen,99.982
RPR1,Yes,enAsCas12a,G03,scraped,99.944
RPR1,Yes,enAsCas12a,H11,11_gen,32.495999999999995
RPR1,Yes,enAsCas12a,H11,20_gen,33.05
RPR1,Yes,enAsCas12a,H11,6_gen,35.816
RPR1,Yes,enAsCas12a,H11,scraped,30.253999999999998
SNR52,No,FnCas12a,A01,11_gen,31.046
SNR52,No,FnCas12a,A01,20_gen,46.686
SNR52,No,FnCas12a,A01,6_gen,33.472
SNR52,No,FnCas12a,A01,scraped,12.726
SNR52,No,FnCas12a,A04,11_gen,90.774
SNR52,No,FnCas12a,A04,20_gen,97.37
SNR52,No,FnCas12a,A04,6_gen,79.41049267671265
SNR52,No,FnCas12a,A04,scraped,23.817954388013447
SNR52,No,FnCas12a,A09,11_gen,57.2
SNR52,No,FnCas12a,A09,20_gen,82.2000000000001
SNR52,No,FnCas12a,A09,6_gen,1.28
SNR52,No,FnCas12a,A09,scraped,16.64226778721385
SNR52,No,FnCas12a,A12,11_gen,99.75200000000001
SNR52,No,FnCas12a,A12,20_gen,99.846
SNR52,No,FnCas12a,A12,6_gen,99.50200000000001
SNR52,No,FnCas12a,A12,scraped,74.84826375475771
SNR52,No,FnCas12a,B05,11_gen,96.594
SNR52,No,FnCas12a,B05,20_gen,96.594
SNR52,No,FnCas12a,B05,6_gen,95.27055228302706
SNR52,No,FnCas12a,B05,scraped,62.953026852412705
SNR52,No,FnCas12a,C03,11_gen,70.06799999999998
SNR52,No,FnCas12a,C03,20_gen,89.574
SNR52,No,FnCas12a,C03,6_gen,54.44935499283325
SNR52,No,FnCas12a,C03,scraped,22.734910870683052
SNR52,No,FnCas12a,C04,11_gen,85.928
SNR52,No,FnCas12a,C04,20_gen,91.636
SNR52,No,FnCas12a,C04,6_gen,78.0481845092164
SNR52,No,FnCas12a,C04,scraped,14.60972558634465
SNR52,No,FnCas12a,C05,11_gen,3.142000000000005
SNR52,No,FnCas12a,C05,20_gen,4.496
SNR52,No,FnCas12a,C05,6_gen,2.896
SNR52,No,FnCas12a,C05,scraped,28.296151867818402
SNR52,No,FnCas12a,E01,11_gen,99.792
SNR52,No,FnCas12a,E01,20_gen,99.82
SNR52,No,FnCas12a,E01,6_gen,99.886
SNR52,No,FnCas12a,E01,scraped,98.19194597950946
SNR52,No,FnCas12a,E02,11_gen,98.88
SNR52,No,FnCas12a,E02,20_gen,98.926
SNR52,No,FnCas12a,E02,6_gen,99.1798923395445
SNR52,No,FnCas12a,E02,scraped,93.89275276532209
SNR52,No,FnCas12a,E05,11_gen,99.716
SNR52,No,FnCas12a,E05,20_gen,99.79400000000001
SNR52,No,FnCas12a,E05,6_gen,99.572
SNR52,No,FnCas12a,E05,scraped,73.50353679821845
SNR52,No,FnCas12a,G03,11_gen,95.494
SNR52,No,FnCas12a,G03,20_gen,98.962
SNR52,No,FnCas12a,G03,6_gen,86.82
SNR52,No,FnCas12a,G03,scraped,26.99108818978965
SNR52,No,FnCas12a,H11,11_gen,92.72
SNR52,No,FnCas12a,H11,20_gen,98.158
SNR52,No,FnCas12a,H11,6_gen,82.69045674740485
SNR52,No,FnCas12a,H11,scraped,10.516
SNR52,No,enAsCas12a,A01,11_gen,99.29897794043956
SNR52,No,enAsCas12a,A01,20_gen,99.8150266726231
SNR52,No,enAsCas12a,A01,6_gen,95.82
SNR52,No,enAsCas12a,A01,scraped,18.22
SNR52,No,enAsCas12a,A04,11_gen,99.8196372691854
SNR52,No,enAsCas12a,A04,20_gen,99.8663848184309
SNR52,No,enAsCas12a,A04,6_gen,99.732
SNR52,No,enAsCas12a,A04,scraped,97.178
SNR52,No,enAsCas12a,A09,11_gen,37.6650107405957
SNR52,No,enAsCas12a,A09,20_gen,47.83230996435037
SNR52,No,enAsCas12a,A09,6_gen,1.216
SNR52,No,enAsCas12a,A09,scraped,6.24
SNR52,No,enAsCas12a,A12,11_gen,97.7395432645591
SNR52,No,enAsCas12a,A12,20_gen,94.1959992783903
SNR52,No,enAsCas12a,A12,6_gen,98.358
SNR52,No,enAsCas12a,A12,scraped,98.22999999999999
SNR52,No,enAsCas12a,B05,11_gen,25.40385536401525
SNR52,No,enAsCas12a,B05,20_gen,12.521316039123816
