dataset_key,well_position,promoter,donor_recruitment,cas_variant,efficiency_avg,colony_count_avg,viability
fncas12a_snr_yes,A12,SNR52,Yes,FnCas12a,83.25399999999999,15888.5,0.9782956714488024
fncas12a_snr_yes,B05,SNR52,Yes,FnCas12a,78.98,15624.5,0.9620405147466289
fncas12a_snr_yes,C03,SNR52,Yes,FnCas12a,5.1240000000000006,17141,1.0554153069392278
fncas12a_snr_yes,C04,SNR52,Yes,FnCas12a,6.318,16901,1.0406378917554338
fncas12a_snr_yes,C05,SNR52,Yes,FnCas12a,4.034,15032,0.9255587710116372
fncas12a_snr_yes,E01,SNR52,Yes,FnCas12a,98.744,15979.5,0.983898774705991
fncas12a_snr_yes,E02,SNR52,Yes,FnCas12a,99.31,14939.5,0.9198633089095499
fncas12a_snr_yes,E05,SNR52,Yes,FnCas12a,95.946,13744.5,0.8462840958069084
fncas12a_snr_yes,G03,SNR52,Yes,FnCas12a,31.244,16794.5,1.0340804137676252
fncas12a_snr_yes,H11,SNR52,Yes,FnCas12a,22.778,18173,1.1189581922295426
